Message,CaseNumber
customer said please confirm if simplygo oxygen concentrator unit is available in egypt if not how can i got in egypt you can contact me best regard engmortada ali alexandria egypt. customer said if you can respond to my message please replay. agent said hello mortada we will forward your inquiry to the responsible team who will feed us back with the availability of the product and get back to you as soon as possible. agent said thanks for our conversation we hope weve been able to help you and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer said thanks for your reply waiting your help,1541568
customer asked is there any update on my replacement brush heads. agent said hi andrew thanks for reaching out to us again its taking quite a while now indeed im not quite sure what causes this delay so i reached out to our warehouse to ask if they can look into this they will most likely get back to me tomorrow so thats when youll hear from me again have a good evening for now cheers charlie. agent said hey andrew thanks for waiting ive just heard back from my colleagues at the warehouse that they expect the brush heads to come in this friday they said theyll send you the new heads as soon as they arrive i hope youll be back to brushing properly again soon do let me know when you have them cheers stan,1552227
customer said is there any answer because i have not received the spare parts so far and every time i contact them the answer is waiting for the spare part and we will call you and till now no one called. agent said hi eman thanks for reaching out to us were sorry to hear you havent heard anything back yet we will forward your request to our local team right away so they can look into it for you if you have any further questions in the meantime just let us know,1942631
customer said hi. customer said i want to ask who can i contact when i want to fix my philips fridge. customer said i found on your website the number for company but they said that there are not responsible for fridges so please advice who can i contact for my fridge. agent said hello mohamed were glad to know youre interested in philips products to better assist you please provide us with your country of residence. customer said im in egypt cairo al rehab city,1944452
customer said ok i will pick up my equipment tomorrow watching video ahead of time and reading these comments would appreciate input from the manufacturer ahead of time i am a woman so i guess this thing goes over the beastslike right under the arms i suppose what do i do if the belt is too long any other suggestions would be appreciated ahead of time thanks. agent said hi linda thanks for your comment wed like to forward your query to our product team so can you please specify your country of residence thanks and hope to hear from you soon. customer said healthcare united states,3830529
customer said hi this filter turned dark after nights use on my dreamstation i have already bought another device will i be compensated i dont need another device thanks. agent said hi there thanks for reaching out to us could you please let us know what your country of residence is thanks in advance patiently awaiting your reply. customer said usa. agent said thank you for sharing this rickey can you please also specify the model of your dreamstation that way well be able to assess the next steps looking forward to your reply. agent said thanks for sharing rickey weve asked our product team to look into this for you youll hear from them soon. customer said nothing heard so far,3894203
customer said my dreamstation pressure is set for pressure recently on two occasions when i got up during the night the pressure on the screen was which is below the preset number of is this a problem and do i need to change something. agent said hello ginny thank you for reaching out to us were sorry to hear that this has been happening with your dreamstation and we would like to take a closer look could you provide us with a picture of the product details of your device additionally could you also let us know your country of residence thanks in advance awaiting your reply. customer said i am in pennsylvania usa,3919499
customer asked can you help me please why does my bipap keeps reseting. agent said hello there jol thank you for reaching out to us were sorry to hear that your bipap is causing you issues we would like our product specialist team to take a look into this for you could you provide us with a picture of the product details of your device your proof of purchase your country of residence and your email address this way our dedicated team can assist you further thanks in advance awaiting your reply. customer said i dont have a proof of purshase anymore but i will send you a max of info. agent said thanks for letting us know we will be awaiting your message. customer said i live in qubec canada email. agent said thanks for getting back to us our colleagues will be with you as soon as possible,3925537
customer said i read that we can put a filter on the hose and i see filters on party sellers sites but cant philips at least provide those so we know they work with our cpap the article said the filter may not work with the hose that works with a humidifier what about that please philips i chose you over competitors because my husband used to work for philips magnavox and i still have a vestige of brand loyalty help me out here,3933228
customer said your cpap csr team was supposed to get back to my husband about his wonky ac adapter he cant sleep because of the adapter not working and there is a hurricane bearing down next door how do we get it fixed now it is the weekend get back to us. customer said we need help because my husbands dream machine ac adapter has failed and you only answer tech problems calls monday through friday we have evacuated due to hurricane ida and need help finding a working ac adapter,3937801
customer asked please advise if we havent received any letter what we should do. agent said hi there jul thank you for your message we are not quite sure what you mean could you elaborate on your situation perhaps well be here awaiting your reply. customer said hi i have an issue with a cpap machine brand new and i try to find some answers from you its about the heating plastic tank without water while we sleeping what is the impact on the health inhaling the plastic gas heated,3940449
agent said hi there could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. agent said hello thank you for the response and for confirming your location please try us at. customer said hi im reaching out to get some help with my wifes respironics cpap machine that is part of the recall but is no longer under warranty please see my exchange with the main account on this matter thanks for your help. customer said my mailing address is pk koduri ravencrest ave bloomington in i can be reached at,3947544
customer said did change their cpap bipap dreamwear pillows the new ones i got this month dont match my nose shape and dont have as thick cushioning lacking the blue part entirely. customer said apparently they discontinued the gel pillows that fuckinng sucks omg. agent said hi there thanks for your message can you please send us a direct message and provide us with your country of residence then well connect you with our colleagues who can assist you further. customer said i live in the us i get my supplies though lincare paid by my insurance,3952945
customer said i am still waiting for my replacement of my lifeline equipment it has been over daysprogram code unit. customer said my ph cell. agent said hi there delores thanks for reaching out were sorry to hear that youre still waiting for your device to be replaced wed like to see how we can help so could you please share your country of residence with us many thanks in advance hope to hear from you soon. customer said im in abilene texas usa. agent said thank you for letting us know delores we are going to forward your case to our product specialists who will be able to assist you further one of our colleagues will be with you in the same conversation shortly have a lovely day,3957892
customer said will insurance cover this. agent asked hello mely and thanks for your interest we would gladly assist you could you please share your location in a private chat this way we can get into the specifics awaiting your reply. customer said philips respiratory wellness yes sending message right now. customer said palmdale california. customer said philips respiratory wellness waiting for a response,3960174
customer said im interested in this product. agent asked hello james and thanks for your interest what kind of product do you mean try to include your location as well awaiting your reply. customer said im looking for a portable concentrator. customer said location nc. agent said thanks for sharing james we will forward your concern to our product team to assist you further they will be with you shortly,3960212
customer said explain to me how i can sleep with my mask on from hours and the machine give me hours of therapy hours. agent said hi randy thank you for reaching out to us could you perhaps elaborate on that. customer said put the mask on around took it off around machine says hours of therapy this isnt new been goin on for a while. agent said thank you for elaborating we would like to have our product specialist team take a closer look into this could you let us know your country of residence awaiting your reply. customer said usa. customer asked checking in any more info needed,3968368
customer said not impressed with the replacement the lid is very cheap and it is hard to take apart if your partner is still sleeping i use the heated hose and mine didnt come with that and it no longer swivels had no notice that a new machine was coming and the filters are different i now have supplies i cant use and i will have to buy myself because insurance says i already bought and wont let me get more and i will need new filters for the redesign,3978248
customer asked is anyone available to chat. customer said my wife received a replacement dreamstation but it only goes up to a setting her setting is supposed to be called a few days ago and was told someone would contact her buy so far no response. agent said hi melvin thanks for reaching out to us weve asked our product team to look into this for you youll hear from them soon. customer said thanks. customer said thank you for your prompt resolution on my wifes device,3978455
customer said hi phillips none of your australian phone numbers are working i have had to rent a machine due to this recall and its sending us broke as we just bought the dream station last octoberhas there been any progress someone on a recall group said that you are giving refunds now i would like one asap please its faulty equipment and i dont want it please let me know how i go aout getting this refund i cannot call as your numbers arent working. customer asked is anyone available to chat. customer asked is anyone available to chat. customer asked is anyone available to chat,3983572
customer said i did register my dreamstation but a former neighbor called to say notification was just sent to my old address in another state my house had been torn down a new one built and ups envelope was left on stoop of an unfinished new house name robert neary old address lakeview ave tewksbury ma tracking number current address on recall registration paperwork is lost woods circle bonita springs fl. customer said dreamstation sn is humidifier chamber is. customer said please update database so new device or any future info is sent to florida not massachusetts thank you,3985636
customer said my touch screen stopped working on my machine is there a way to hard reset it i dont have time to send it in for repair and wait for a new one to come i am going to a different state for business travel on tuesday. agent said hi there kelsey sorry to hear this and we like to see how we can help could you therefore please provide us with the country that youre currently based in hope to hear from you. customer said healthcare hi philips thanks for the reply i am based out of the usa i have the dreamstation,3992407
customer said i got documents in the mail days ago telling me to register the two devices ive already registered online to see if they are part of the recall but the document says all dreamstation serial numbers also i have devices because the rx changed i dont need two devices what do i do with the one thats been unprescribed. agent said hi could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said responding to your request to my post received documentation in the mail though ive already registered both the bipap and the cpap my location is gretna la,3993464
customer said i recently got a replacement delivered without any correspondence that it was coming said to box up and send old one back i did now ive been using for weeks and cant get filters because theyre out of stock and dont know when theyll be in the whole thing has been and still is very frustrating. customer said i received my new dream station weeks ago and mailed old one back now i need filters and theyre apparently out of stock supposed to be changed every weeks and its already been longer than that and its dirty and gross i was told maybe by the end of the month that is unacceptable and you shouldnt have sent new ones out without having them in stock teresa smith,3998316
customer said hi philips i registered for the cpap recall i moved and have called your recall number three times to get my address and phone updated can you put me in contact with someone that can actually update my contact information they also could not confirm if a replacement cpap had already been sent to my prior address i had called the recall before i moved and tried to update my address but apparently they did not change it,3998548
customer said hi i have a dreamstation which is part of the recall i registered my device back in june but have now moved how do i update my contact information on my registration. agent said hi there could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said sure i am in the us washington state my registration confirmation is,4000580
customer said submerging the electric end of the heated tube is ok i always avoided getting that end in water due to the contact with the unit was concerned about water still being in there. agent said hi there thanks for reaching out to us could you share your country of residence so we can put you in touch with our dedicated team awaiting your reply. customer said usa. agent said thanks for your reply we will have our dedicated team follow up on your request and get back to you shortly,4007111
customer said your customer service number for hung up on me time this morning after going through the menu options of english and patient i am reaching out via tweeter because they dont have customer care email posted on the website instead of putting me in a queue for support or providing me with a message you just hang up i suspect this is a technical issues with your customer care line i am calling about my cpap recall because i cant register my device online because the serial number on the bottom of the device has faded cant be read please help or having some call me back at or email me at,4007272
customer said i hope they get this sorted for you asap its disgraceful customer service the issue was discovered in april weve already been waiting long enough for an outcome i dont want another philips machine ive lost all confidence in them and would prefer to get a different brand. customer said just found out ive been breathing in toxic fumes from my dream station this is after finding out about the recall where you discovered the issue in april i registered my machine in june havent heard a peep from philips since. agent said hi megan could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer said i cant seem to send you a private message im in australia. agent said this should work,4008743
customer said i received my replacement machine but i still have filters and tanks for the dreamstation will phillips exchange them if so how do i do this. customer said i received my replacement cpap machine but i still have filters and tanks for the dreamstation will philips exchange them if so how do i do this. customer said no answer. customer said i dont know why you have this page when you dont respond to posts or messages,4013064
customer said hello i have registered my recalled cpap machine but my address is now changing pls let me know how to change my address. customer said so that if any replacement is sent its sent at the new address. agent said hello tuli any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call. customer asked how will i change my address,4014153
customer said dream station auto cpap dom hum serial number manufactured. customer asked what is the part number where can i find it. customer asked my machine also has another label marked dreamstation hum core pack dom sn manufactured please advise what will be the process. customer said as usual too much information but nothing useful at the end we as affected customers need useful action not repeated worthless talk,4016956
customer said ive sent several messages but ive been ghosted by your company now im suffering lung issues i would just like a simple refund of my money of my dream station and all the supplies that ive purchased for it you dont need to ask me the standard where i live in this that or the other check for plus is what i need for the cost in every supply ive spent on your cancer machines. customer said this is the sketchiest company ive ever dealt with,4018348
customer said i received a dreamstation to replace the dreamstation i have supplies for the original dreamstation filters foam and fine particle as well as reservoirs two questions will philips exchange for current filters and reservoirs second i have two recalled units dreamstation and system one which does the received unit replace not only did this put my health at risk but is costing me more money,4020850
customer said ive registered two machines that are part of the recall ive since moved to a new address and want to update that address with you how do i do that and when might i receive replacements. agent said hi brian philips plans to initiate the repair and replacement programs in the majority of its markets by the end of september with the intention to complete them within approximately months please refer to our website for more information. customer said wow months does that mean i might have to be without my cpap for up to months or use it with the multiple risks associated with your machines that is unacceptable. customer said can you please tell me how to update my address with you in case im one of the fortunate users that gets fixed sooner than later,4027034
customer asked philips sleep wellness what is a dme what about people who have a machine that is over years old will you still replace it or should we give up and start over with another company my husband and i registered back in june and we have no guidance. agent said hello jill we understand your concerns completely you have completed the vital step of registering your affected device any status updates upon repair or replacement will be sent to you via the method of communication you chose either by email text or received by a phone call philips is treating this matter with the highest possible seriousness you will be contacted as soon as a status update is available. customer said will you replace a cpap even if over years old will we have to have an order from a doctor,4028099
customer said philips after receiving my machine back in july months later its doing the same issue im told you cant provide a new one but to yet again send the machine to get fixed for the same exact issue clearly the machine is a lemon but lets just send it back to get fixed you have the worst customer service a machine should not break with the same issue and its not even a year old i will never buy another product from your brand again i will also share my experience with others about this product definitely reporting this to the bbb,4029265
customer said good afternoon i am normally a very patient person but with barely any sleep for the past months it is starting to get to me as i cant afford to buy a new cpap machine and i am happy with the style of the one i have i live east of dallas texas as i got this one when i had another insurance and the place do not take hmo i am in a bind of what to do how long a replacement filter is available etc. customer said philips sleep wellness message sent,4035812
customer asked is anyone available to chat. agent asked sure jon how may we be of assistance. customer said i cant find the model number on my dreamstation cpap. customer said and its on the recall. agent asked hi jon please verify that you are filling out the correct serial number of your product and not any attached humidifier the water reservoirtank when registering you can check how to find your serial number via this page if you are still experiencing issues after that please reach out to our dedicated support team via for personal help. customer asked so the serial number is the model number. customer said l,4046662
