Message,CaseNumber,Summary
customer said please confirm if simplygo oxygen concentrator unit is available in egypt if not how can i got in egypt you can contact me best regard engmortada ali alexandria egypt. customer said if you can respond to my message please replay. agent said hello mortada we will forward your inquiry to the responsible team who will feed us back with the availability of the product and get back to you as soon as possible. agent said thanks for our conversation we hope weve been able to help you and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer said thanks for your reply waiting your help,1541568," the oxygen concentrator unit is not available in egypt. Customer needs more information about the availability of the product as soon as possible. If it's not available, he can contact customer via egypt if he wants to find out about it in a quick survey it will only take a minute."
customer asked is there any update on my replacement brush heads. agent said hi andrew thanks for reaching out to us again its taking quite a while now indeed im not quite sure what causes this delay so i reached out to our warehouse to ask if they can look into this they will most likely get back to me tomorrow so thats when youll hear from me again have a good evening for now cheers charlie. agent said hey andrew thanks for waiting ive just heard back from my colleagues at the warehouse that they expect the brush heads to come in this friday they said theyll send you the new heads as soon as they arrive i hope youll be back to brushing properly again soon do let me know when you have them cheers stan,1552227,". The replacement brush heads will be delivered on Friday and will be ready for customer's customer's appointment with agent andrew, but it's taking a while for them to come to her. She will be back to brushing properly again soon. She'll let stan know when the new ones arrive."
customer said is there any answer because i have not received the spare parts so far and every time i contact them the answer is waiting for the spare part and we will call you and till now no one called. agent said hi eman thanks for reaching out to us were sorry to hear you havent heard anything back yet we will forward your request to our local team right away so they can look into it for you if you have any further questions in the meantime just let us know,1942631, the customer still hasn't received the spare parts so far. The local team will pass his request to their local team so they can help him with any more questions in the meantime. He will let them know if he has any further questions in case he needs any more problems.
customer said hi. customer said i want to ask who can i contact when i want to fix my philips fridge. customer said i found on your website the number for company but they said that there are not responsible for fridges so please advice who can i contact for my fridge. agent said hello mohamed were glad to know youre interested in philips products to better assist you please provide us with your country of residence. customer said im in egypt cairo al rehab city,1944452, customer wants to fix her Philips fridge. The company says there are no responsibilities for fridges. Customer is from egypt cairo al rehab city. He is interested in Philips products to better assist customer with his country of residence and is looking for someone to do it.
customer said ok i will pick up my equipment tomorrow watching video ahead of time and reading these comments would appreciate input from the manufacturer ahead of time i am a woman so i guess this thing goes over the beastslike right under the arms i suppose what do i do if the belt is too long any other suggestions would be appreciated ahead of time thanks. agent said hi linda thanks for your comment wed like to forward your query to our product team so can you please specify your country of residence thanks and hope to hear from you soon. customer said healthcare united states,3830529, customer is going to pick up her equipment tomorrow. She needs some more suggestions from the manufacturer before she takes care of her private affairs. Linda is a woman so she doesn't have enough information from a video about proper belt measurements. She will send her concerns to the product team.
customer said hi this filter turned dark after nights use on my dreamstation i have already bought another device will i be compensated i dont need another device thanks. agent said hi there thanks for reaching out to us could you please let us know what your country of residence is thanks in advance patiently awaiting your reply. customer said usa. agent said thank you for sharing this rickey can you please also specify the model of your dreamstation that way well be able to assess the next steps looking forward to your reply. agent said thanks for sharing rickey weve asked our product team to look into this for you youll hear from them soon. customer said nothing heard so far,3894203, the filter turned dark after nights use on customer's dreamstation. He has already bought a new device. The product team will look into developing a product for the device. Customer's country of residence is USA. He will let them know the exact model of his dreamstation so they can assess the next steps.
customer said my dreamstation pressure is set for pressure recently on two occasions when i got up during the night the pressure on the screen was which is below the preset number of is this a problem and do i need to change something. agent said hello ginny thank you for reaching out to us were sorry to hear that this has been happening with your dreamstation and we would like to take a closer look could you provide us with a picture of the product details of your device additionally could you also let us know your country of residence thanks in advance awaiting your reply. customer said i am in pennsylvania usa,3919499, on two occasions during the night the pressure on the screen is below the preset number. The customer's dreamstation pressure is set for pressure. He lives in Pennsylvania. He needs to change it. He will send the product details of his device and send a picture of the device.
customer asked can you help me please why does my bipap keeps reseting. agent said hello there jol thank you for reaching out to us were sorry to hear that your bipap is causing you issues we would like our product specialist team to take a look into this for you could you provide us with a picture of the product details of your device your proof of purchase your country of residence and your email address this way our dedicated team can assist you further thanks in advance awaiting your reply. customer said i dont have a proof of purshase anymore but i will send you a max of info. agent said thanks for letting us know we will be awaiting your message. customer said i live in qubec canada email. agent said thanks for getting back to us our colleagues will be with you as soon as possible,3925537," customer has a problem with his bipap's reseting. He doesn't have a proof of purshase. The product specialist team will take a look into this. Customer lives in Quebec, Canada. He will send a picture of the product details of his device to the team."
customer said i read that we can put a filter on the hose and i see filters on party sellers sites but cant philips at least provide those so we know they work with our cpap the article said the filter may not work with the hose that works with a humidifier what about that please philips i chose you over competitors because my husband used to work for philips magnavox and i still have a vestige of brand loyalty help me out here,3933228,Philips will put a filter on the hose that works with a humidifier. The article said that the filter may not work with the moistifier. Philips' husband used to work for Philips magnavox and Philips are interested in taking care of it.
customer said your cpap csr team was supposed to get back to my husband about his wonky ac adapter he cant sleep because of the adapter not working and there is a hurricane bearing down next door how do we get it fixed now it is the weekend get back to us. customer said we need help because my husbands dream machine ac adapter has failed and you only answer tech problems calls monday through friday we have evacuated due to hurricane ida and need help finding a working ac adapter,3937801,", but the husband can't sleep because of his broken ac adapter. The hurricane is going next door so it's the weekend and it's too late for him to have it fixed. Customer needs help from Chris about his husband's PCAC team. Chris will help him find a working ac adapter on the weekend."
