Message,Product,Brand,Customer_Query,Problem,Brand_Actions,Brand_Reply,CaseNumber
customer asked please confirm if simplygo oxygen concentrator unit is available in egypt if not how can i got in egypt you can contact me best regard engmortada ali alexandria egypt. customer asked if you can respond to my message please replay. executive replied hello mortada we will forward your inquiry to the responsible team who will feed us back with the availability of the product and get back to you as soon as possible. executive replied thanks for our conversation we hope weve been able to help you and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked thanks for your reply waiting your help,simplygo oxygen concentrator,simplygo,please confirm if simplygo oxygen concentrator unit is available in egypt,simplygo oxygen concentrator unit is available in egypt,we will forward your inquiry to the responsible team,we will forward your inquiry to the responsible team,1541568
customer asked is there any update on my replacement brush heads. executive replied hi andrew thanks for reaching out to us again its taking quite a while now indeed im not quite sure what causes this delay so i reached out to our warehouse to ask if they can look into this they will most likely get back to me tomorrow so thats when youll hear from me again have a good evening for now cheers charlie. executive replied hey andrew thanks for waiting ive just heard back from my colleagues at the warehouse that they expect the brush heads to come in this friday they said theyll send you the new heads as soon as they arrive i hope youll be back to brushing properly again soon do let me know when you have them cheers stan,brush heads.,,is there any update on my replacement brush heads.,im not quite sure what causes this delay,tomorrow,theyll send you the new heads as soon as they arrive,1552227
customer asked is there any answer because i have not received the spare parts so far and every time i contact them the answer is waiting for the spare part and we will call you and till now no one called. executive replied hi eman thanks for reaching out to us were sorry to hear you havent heard anything back yet we will forward your request to our local team right away so they can look into it for you if you have any further questions in the meantime just let us know,spare parts,,is there any answer because i have not received the spare parts,i have not received the spare parts,waiting for the spare part and we will call you and till now no one called.,forward your request to our local team,1942631
customer asked hi. customer asked i want to ask who can i contact when i want to fix my philips fridge. customer asked i found on your website the number for company but they said that there are not responsible for fridges so please advice who can i contact for my fridge. executive replied hello mohamed were glad to know youre interested in philips products to better assist you please provide us with your country of residence. customer asked im in egypt cairo al rehab city,philips fridge.,philips,i want to ask who can i contact when i want to fix my philips fridge.,i found on your website the number for company but they said that there are not responsible for fridges,there are not responsible for fridges,executive replied hello mohamed were glad to know youre interested in philips products to better assist you please provide us with your country of residence.,1944452
customer asked philips_egypt philips_usa a bad company i still couldnt buy a razor blades for two years because they are not in the stores. executive replied hi there aser weve noticed your comment here and wed like to see if there is anything we can do for you could you let us know if we can be of any help were always here for you. customer asked philips i still couldnt buy a razor blades for two years. . .,razor blades,philips_egypt,i still couldnt buy a razor blades for two years because they are not in the stores.,i still couldnt buy a razor blades for two years because they are not in the stores.,philips_egypt,executive replied hi there aser weve noticed your comment here and wed like to see if there is anything we can do for you,1967657
customer asked ok i will pick up my equipment tomorrow watching video ahead of time and reading these comments would appreciate input from the manufacturer ahead of time i am a woman so i guess this thing goes over the beastslike right under the arms i suppose what do i do if the belt is too long any other suggestions would be appreciated ahead of time thanks. executive replied hi linda thanks for your comment wed like to forward your query to our product team so can you please specify your country of residence thanks and hope to hear from you soon. customer asked healthcare united states,equipment,,healthcare united states,i am a woman so i guess this thing goes over the beastslike right under the arms,manufacturer,executive replied hi linda thanks for your comment wed like to forward your query to our product team,3830529
customer asked hi this filter turned dark after nights use on my dreamstation i have already bought another device will i be compensated i dont need another device thanks. executive replied hi there thanks for reaching out to us could you please let us know what your country of residence is thanks in advance patiently awaiting your reply. customer asked usa. executive replied thank you for sharing this rickey can you please also specify the model of your dreamstation that way well be able to assess the next steps looking forward to your reply. . executive replied thanks for sharing rickey weve asked our product team to look into this for you youll hear from them soon. . customer asked nothing heard so far,dreamstation,rickey,usa.,this filter turned dark after nights use on my dreamstation,nothing heard so far,weve asked our product team to look into this for you,3894203
customer asked my dreamstation pressure is set for pressure recently on two occasions when i got up during the night the pressure on the screen was which is below the preset number of is this a problem and do i need to change something. executive replied hello ginny thank you for reaching out to us were sorry to hear that this has been happening with your dreamstation and we would like to take a closer look could you provide us with a picture of the product details of your device additionally could you also let us know your country of residence thanks in advance awaiting your reply. customer asked i am in pennsylvania usa.,dreamstation,,i am in pennsylvania usa.,is this a problem and do i need to change something.,is this a problem and do i need to change something.,we would like to take a closer look,3919499
customer asked please advise if we havent received any letter what we should do. executive replied hi there jul thank you for your message we are not quite sure what you mean could you elaborate on your situation perhaps well be here awaiting your reply. customer asked hi i have an issue with a cpap machine executive new and i try to find some answers from you its about the heating plastic tank without water while we sleeping what is the impact on the health inhaling the plastic gas heated,cpap machine,,please advise if we havent received any letter what we should do.,its about the heating plastic tank without water while we sleeping,heating plastic tank without water while we sleeping what is the impact on the health inhaling the plastic gas heated,executive replied hi there jul thank you for your message we are not quite sure what you mean could you elaborate on your situation,3940449
customer asked did change their cpap bipap dreamwear pillows the new ones i got this month dont match my nose shape and dont have as thick cushioning lacking the blue part entirely. customer asked apparently they discontinued the gel pillows that fuckinng sucks omg. executive replied hi there thanks for your message can you please send us a direct message and provide us with your country of residence then well connect you with our colleagues who can assist you further. customer asked i live in the us i get my supplies though lincare paid by my insurance,gel pillows,,apparently they discontinued the gel pillows,apparently they discontinued the gel pillows that fuckinng sucks omg.,they discontinued the gel pillows,executive replied hi there thanks for your message can you please send us a direct message,3952945
customer asked i am still waiting for my replacement of my lifeline equipment it has been over daysprogram code unit. customer asked my ph cell. executive replied hi there delores thanks for reaching out were sorry to hear that youre still waiting for your device to be replaced wed like to see how we can help so could you please share your country of residence with us many thanks in advance hope to hear from you soon. customer asked im in abilene texas usa. executive replied thank you for letting us know delores we are going to forward your case to our product specialists who will be able to assist you further one of our colleagues will be with you in the same conversation shortly have a lovely day,ph cell.,,my ph cell.,youre still waiting for your device to be replaced,we are going to forward your case to our product specialists,we are going to forward your case to our product specialists,3957892
customer asked will insurance cover this. executive replied hello mely and thanks for your interest we would gladly assist you could you please share your location in a private chat this way we can get into the specifics awaiting your reply. customer asked philips respiratory wellness yes sending message right now. . customer asked palmdale california. customer asked philips respiratory wellness waiting for a response,philips respiratory wellness,philips,palmdale california.,waiting for a response,waiting for a response,we would gladly assist you,3960174
customer asked im interested in this product. executive replied hello james and thanks for your interest what kind of product do you mean try to include your location as well awaiting your reply. customer asked im looking for a portable concentrator. customer asked location nc. executive replied thanks for sharing james we will forward your concern to our product team to assist you further they will be with you shortly,portable concentrator.,,im looking for a portable concentrator.,customer asked im looking for a portable concentrator.,we will forward your concern to our product team to assist you further they will be with you shortly,we will forward your concern to our product team to assist you further they will be with you shortly,3960212
customer asked explain to me how i can sleep with my mask on from hours and the machine give me hours of therapy hours. executive replied hi randy thank you for reaching out to us could you perhaps elaborate on that. customer asked put the mask on around took it off around machine says hours of therapy this isnt new been goin on for a while. executive replied thank you for elaborating we would like to have our product specialist team take a closer look into this could you let us know your country of residence awaiting your reply. customer asked usa. customer asked checking in any more info needed,mask,usa.,usa.,this isnt new been goin on for a while.,this isnt new been goin on for a while.,executive replied hi randy thank you for reaching out to us could you perhaps elaborate on that. customer asked put the mask on around took it off around,3968368
customer asked is anyone available to chat. customer asked my wife received a replacement dreamstation but it only goes up to a setting her setting is supposed to be called a few days ago and was told someone would contact her buy so far no response. executive replied hi melvin thanks for reaching out to us weve asked our product team to look into this for you youll hear from them soon. customer asked thanks. customer asked thank you for your prompt resolution on my wifes device,dreamstation,,my wife received a replacement dreamstation but it only goes up to a setting,my wife received a replacement dreamstation but it only goes up to a setting,asked our product team to look into this for you youll hear from them soon.,our product team to look into this for you youll hear from them soon.,3978455
