Message,CaseNumber,Summary
customer asked please confirm if simplygo oxygen concentrator unit is available in egypt if not how can i got in egypt you can contact me best regard engmortada ali alexandria egypt. customer asked if you can respond to my message please replay. executive replied hello mortada we will forward your inquiry to the responsible team who will feed us back with the availability of the product and get back to you as soon as possible. executive replied thanks for our conversation we hope weve been able to help you and would really appreciate it if you could fill out this quick survey it will only take a minute to complete. customer asked thanks for your reply waiting your help,1541568,customer needs help with simplygo oxygen concentrator. customer calls to inquire about the availability of the product. agent will forward the inquiry to the responsible team.
customer asked is there any update on my replacement brush heads. executive replied hi andrew thanks for reaching out to us again its taking quite a while now indeed im not quite sure what causes this delay so i reached out to our warehouse to ask if they can look into this they will most likely get back to me tomorrow so thats when youll hear from me again have a good evening for now cheers charlie. executive replied hey andrew thanks for waiting ive just heard back from my colleagues at the warehouse that they expect the brush heads to come in this friday they said theyll send you the new heads as soon as they arrive i hope youll be back to brushing properly again soon do let me know when you have them cheers stan,1552227,customer says is there any update on my replacement brush heads. agent tells that the replacement brush heads will arrive soon.
customer asked is there any answer because i have not received the spare parts so far and every time i contact them the answer is waiting for the spare part and we will call you and till now no one called. executive replied hi eman thanks for reaching out to us were sorry to hear you havent heard anything back yet we will forward your request to our local team right away so they can look into it for you if you have any further questions in the meantime just let us know,1942631,customer has not received the spare parts. agent will forward the request to the local team.
customer asked hi. customer asked i want to ask who can i contact when i want to fix my philips fridge. customer asked i found on your website the number for company but they said that there are not responsible for fridges so please advice who can i contact for my fridge. executive replied hello mohamed were glad to know youre interested in philips products to better assist you please provide us with your country of residence. customer asked im in egypt cairo al rehab city,1944452,customer wants to fix philips fridge. agent asks for country of residence.
customer asked philips_egypt philips_usa a bad company i still couldnt buy a razor blades for two years because they are not in the stores. executive replied hi there aser weve noticed your comment here and wed like to see if there is anything we can do for you could you let us know if we can be of any help were always here for you. customer asked philips i still couldnt buy a razor blades for two years,1967657,customer says i still couldnt buy a razor blades for two years because they are not in the stores. agent tells that can't buy razor blades because they're not in the stores.
customer asked ok i will pick up my equipment tomorrow watching video ahead of time and reading these comments would appreciate input from the manufacturer ahead of time i am a woman so i guess this thing goes over the beastslike right under the arms i suppose what do i do if the belt is too long any other suggestions would be appreciated ahead of time thanks. executive replied hi linda thanks for your comment wed like to forward your query to our product team so can you please specify your country of residence thanks and hope to hear from you soon. customer asked healthcare united states,3830529,customer will pick up her equipment tomorrow and wants input from the manufacturer. agent will forward her query to the product team.
customer asked hi this filter turned dark after nights use on my dreamstation i have already bought another device will i be compensated i dont need another device thanks. executive replied hi there thanks for reaching out to us could you please let us know what your country of residence is thanks in advance patiently awaiting your reply. customer asked usa. executive replied thank you for sharing this rickey can you please also specify the model of your dreamstation that way well be able to assess the next steps looking forward to your reply. executive replied thanks for sharing rickey weve asked our product team to look into this for you youll hear from them soon. customer asked nothing heard so far,3894203,customer tells the filter turned dark after nights use on dreamstation. agent asks to specify the model of dreamstation and the product team will look into it.
customer asked my dreamstation pressure is set for pressure recently on two occasions when i got up during the night the pressure on the screen was which is below the preset number of is this a problem and do i need to change something. executive replied hello ginny thank you for reaching out to us were sorry to hear that this has been happening with your dreamstation and we would like to take a closer look could you provide us with a picture of the product details of your device additionally could you also let us know your country of residence thanks in advance awaiting your reply. customer asked i am in pennsylvania usa,3919499,customer tells dreamstation pressure is set for pressure recently. agent asks for a picture of the product details and country of residence.
customer asked i read that we can put a filter on the hose and i see filters on party sellers sites but cant philips at least provide those so we know they work with our cpap the article said the filter may not work with the hose that works with a humidifier what about that please philips i chose you over competitors because my husband used to work for philips magnavox and i still have a vestige of brand loyalty help me out here,3933228,customer wants to put a filter on the hose but can't because the filter may not work with the hose that works with a humidifier. customer is still waiting for help.
customer asked your cpap csr team was supposed to get back to my husband about his wonky ac adapter he cant sleep because of the adapter not working and there is a hurricane bearing down next door how do we get it fixed now it is the weekend get back to us. customer asked we need help because my husbands dream machine ac adapter has failed and you only answer tech problems calls monday through friday we have evacuated due to hurricane ida and need help finding a working ac adapter,3937801,customer asks for help because her husband's dream machine ac adapter has failed. customer is still waiting for help.
customer asked please advise if we havent received any letter what we should do. executive replied hi there jul thank you for your message we are not quite sure what you mean could you elaborate on your situation perhaps well be here awaiting your reply. customer asked hi i have an issue with a cpap machine brand new and i try to find some answers from you its about the heating plastic tank without water while we sleeping what is the impact on the health inhaling the plastic gas heated,3940449,customer has an issue with a cpap machine and asks for some answers. agent replied executive replied hi there jul.
executive replied hi there could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. executive replied hello thank you for the response and for confirming your location please try us at. customer asked hi im reaching out to get some help with my wifes respironics cpap machine that is part of the recall but is no longer under warranty please see my exchange with the main account on this matter thanks for your help. customer asked my mailing address is pk koduri ravencrest ave bloomington in i can be reached at,3947544,customer phones to get help with his wife's respironics cpap machine that is no longer under warranty. agent replied confirming your location.
customer asked did change their cpap bipap dreamwear pillows the new ones i got this month dont match my nose shape and dont have as thick cushioning lacking the blue part entirely. customer asked apparently they discontinued the gel pillows that fuckinng sucks omg. executive replied hi there thanks for your message can you please send us a direct message and provide us with your country of residence then well connect you with our colleagues who can assist you further. customer asked i live in the us i get my supplies though lincare paid by my insurance,3952945,customer needs help with gel pillows. customer complains about the cpap bipap dreamwear pillows. agent asks to send a direct message and provide country of residence.
customer asked i am still waiting for my replacement of my lifeline equipment it has been over daysprogram code unit. customer asked my ph cell. executive replied hi there delores thanks for reaching out were sorry to hear that youre still waiting for your device to be replaced wed like to see how we can help so could you please share your country of residence with us many thanks in advance hope to hear from you soon. customer asked im in abilene texas usa. executive replied thank you for letting us know delores we are going to forward your case to our product specialists who will be able to assist you further one of our colleagues will be with you in the same conversation shortly have a lovely day,3957892,customer needs help with ph cell. customer delores is still waiting for the replacement of her lifeline equipment. agent will forward her case to their product specialists.
customer asked will insurance cover this. executive replied hello mely and thanks for your interest we would gladly assist you could you please share your location in a private chat this way we can get into the specifics awaiting your reply. customer asked philips respiratory wellness yes sending message right now. customer asked palmdale california. customer asked philips respiratory wellness waiting for a response,3960174,customer says palmdale california. agent asks philips respiratory wellness to share location in a private chat.
customer asked im interested in this product. executive replied hello james and thanks for your interest what kind of product do you mean try to include your location as well awaiting your reply. customer asked im looking for a portable concentrator. customer asked location nc. executive replied thanks for sharing james we will forward your concern to our product team to assist you further they will be with you shortly,3960212,customer looking for a portable concentrator. agent will forward concern to their product team.
customer asked is anyone available to chat. customer asked my claim is. customer asked will medicare help replace the one recalled. executive replied hi there thanks for reaching out could you please confirm your location thanks in advance. customer asked what is status on the recall. customer asked i checked medicare will pay is there any assistance for the from phillips mine is less than year old,3960609,customer says what is status on the recall. agent tells medicare will pay for the from phillips mine.
customer asked i cannot sleep without my machine which is one that is recalled my question is will using the humidifier cut down on the amount of the harmful materials we are breathing at night im thinking maybe the water will catch part of it. executive replied hi treasa could you please confirm your location in a private message so we can look into offering more specific information thanks in advance,3964309,customer needs help with my machine. customer cannot sleep without the humidifier. agent asks to confirm location in a private message.
customer asked explain to me how i can sleep with my mask on from hours and the machine give me hours of therapy hours. executive replied hi randy thank you for reaching out to us could you perhaps elaborate on that. customer asked put the mask on around took it off around machine says hours of therapy this isnt new been goin on for a while. executive replied thank you for elaborating we would like to have our product specialist team take a closer look into this could you let us know your country of residence awaiting your reply. customer asked usa. customer asked checking in any more info needed,3968368,customer explains to how can sleep with the mask on from hours and the machine give hours of therapy. agent replied we would like to have our product specialist team take a closer look into this.
customer asked not impressed with the replacement the lid is very cheap and it is hard to take apart if your partner is still sleeping i use the heated hose and mine didnt come with that and it no longer swivels had no notice that a new machine was coming and the filters are different i now have supplies i cant use and i will have to buy myself because insurance says i already bought and wont let me get more and i will need new filters for the redesign,3978248,customer needs help with the replacement. customer doesn't like the new lid because it's hard to take apart and the filters are different. customer is still waiting for help.
customer asked is anyone available to chat. customer asked my wife received a replacement dreamstation but it only goes up to a setting her setting is supposed to be called a few days ago and was told someone would contact her buy so far no response. executive replied hi melvin thanks for reaching out to us weve asked our product team to look into this for you youll hear from them soon. customer asked thanks. customer asked thank you for your prompt resolution on my wifes device,3978455,customer wife received a replacement dreamstation but it only goes up to a setting. agent asks the product team to look into it.
customer asked hi phillips none of your australian phone numbers are working i have had to rent a machine due to this recall and its sending us broke as we just bought the dream station last octoberhas there been any progress someone on a recall group said that you are giving refunds now i would like one asap please its faulty equipment and i dont want it please let me know how i go aout getting this refund i cannot call as your numbers arent working. customer asked is anyone available to chat. customer asked is anyone available to chat. customer asked is anyone available to chat,3983572,customer needs help with dream station. customer phones Phillips to ask for refunds for faulty equipment. Phillips can't answer because phone numbers aren't working. customer is still waiting for help.
customer asked i did register my dreamstation but a former neighbor called to say notification was just sent to my old address in another state my house had been torn down a new one built and ups envelope was left on stoop of an unfinished new house name robert neary old address lakeview ave tewksbury ma tracking number current address on recall registration paperwork is lost woods circle bonita springs fl. customer asked dreamstation sn is humidifier chamber is. customer asked please update database so new device or any future info is sent to florida not massachusetts thank you,3985636,customer needs help with dreamstation. customer asks to update the database so new device or any future info is sent to florida not massachusetts. customer is still waiting for help.
customer asked my touch screen stopped working on my machine is there a way to hard reset it i dont have time to send it in for repair and wait for a new one to come i am going to a different state for business travel on tuesday. executive replied hi there kelsey sorry to hear this and we like to see how we can help could you therefore please provide us with the country that youre currently based in hope to hear from you. customer asked healthcare hi philips thanks for the reply i am based out of the usa i have the dreamstation,3992407,customer phones for help because touch screen stopped working. agent replied hi there kelsey sorry to hear this and we like to see how we can help.
customer asked i got documents in the mail days ago telling me to register the two devices ive already registered online to see if they are part of the recall but the document says all dreamstation serial numbers also i have devices because the rx changed i dont need two devices what do i do with the one thats been unprescribed. executive replied hi could you please confirm your location in a private message so we can look into offering more specific information thanks in advance. customer asked responding to your request to my post received documentation in the mail though ive already registered both the bipap and the cpap my location is gretna la,3993464,customer wants to register the two devices but the document says all dreamstation serial numbers also. agent asks to confirm location in a private message.
