Message,CaseNumber,Summary
customer said hello i have old phone here from verizon and i want to use this on korea but it says invalid sim ehat do i need to do this is only iphone. agent said hello respicio we can provide the answers you need the iphone doesnt have international capabilities the error you received is due to network compatibility you can contact the carrier whose service you are trying to use and provide the device id they can then verify compatibility does this answer your question bobby,346160,customer needs help with iphone. customer wants to use an old phone on Korea but it says invalid. agent advises to contact the carrier whose service is trying to use and provide the device id.
customer asked where do i go to find my rebate. agent said being able to locate your rebate is important have you already submitted your information to get the rebate sent out you can always check the status of your rebate by following this link kevinr_vzw. agent said being able to locate your rebate is important have you already submitted your information to get the rebate sent out you can always check the status of your rebate by following this link kevinr_vzw,375103,customer says where do i go to find my rebate. agent tells how to find rebate.
customer said i have always set my new messages to display as popup in verizons messages app for some strange reason my incoming text messages are no longer popping up the way they used too i have checked that this option is selected but now when i get a new text i just get the standard new text icon on my locked screen a new text message is no longer waking up my lock screen and displaying as a pop up. agent said we understand the importance of having access to verizon message settings please tell us do you have the latest version available for this app mariav_vzw. agent said we understand the importance of having access to verizon message settings please tell us do you have the latest version available for this app mariav_vzw,585048,customer has always set new messages to display as popup in verizon's messages app. agent asks for the latest version.
customer said i installed the latest update for messages does that mean i have the latest version i have version. agent said i appreciate you installing the latest update deeice now that you have done that are your messages popping up what is the make and model of your device have your messages popped up before please tell me more amberf_vzw. agent said i appreciate you installing the latest update deeice now that you have done that are your messages popping up what is the make and model of your device have your messages popped up before please tell me more amberf_vzw,592184,customer installed the latest update for messages and asks to tell more amberf_vzw. agent replied i appreciate you installing the latest update deeice.
customer said good luck getting any help due to this virus they have cut hours in there call centers i have been trying to cancel a line for the last couple of days. agent said hello we value your time and are surprised it has taken a couple of days to get your issue addressed we are shocked to hear you are looking to cancel a line if you do not mind us asking why are you looking to make such a move gilbertol_vzw. agent said hello we value your time and are surprised it has taken a couple of days to get your issue addressed we are shocked to hear you are looking to cancel a line if you do not mind us asking why are you looking to make such a move gilbertol_vzw,886419,customer needs help with virus. customer has been trying to cancel a line for the last couple of days but it has taken a couple of days to get the issue addressed. agent replied cancel a line.
customer said my signal shows all the time strength is usually to all bars at times im not notified if text messages even though i have volume up advanced service is not on like i said i had no issues until last software update and since then my phone has had a security update by verizon. agent asked have you attempted calls with advanced calling turned on to allow for voice over lte what zip code are you experiencing issues joshuac_vzw. agent asked have you attempted calls with advanced calling turned on to allow for voice over lte what zip code are you experiencing issues joshuac_vzw,938598,customer phones have had a security update and signal shows all the time strength is usually to all bars at times. agent replied agent asked have you attempted calls with advanced calling turned on to allow for voice over.
customer said to whom this may concern namely customer support the following is the error message you receive when you attempt to log into your account on myvprepayverizonwirelesscom this page isnt working myvprepayverizonwirelesscom took too long to respond http error please fix asap its useless for us customers at the moment thank you. agent said we see that our assistance is needed here however it appears that the issue has since resolved itself were you able to get the resolution that you were looking for takendraw_vzw. agent said we see that our assistance is needed here however it appears that the issue has since resolved itself were you able to get the resolution that you were looking for takendraw_vzw,1338666,customer needs help with customer support. customer cannot log into account on myvprepayverizonwirelesscom and asks for help. agent replied we see that our assistance is needed here however it appears that the issue has since resolved itself.
customer said i would like the to have the asus rog myself verizon im sorry your same old phone are getting old customers would like something different sometimes so please so something like and tmobile so you can get phone like the asus rog so please pick this phone up for your customers please because as a customer myself im really thinking of bailing ship and going to a carrier that carries more lineup in phones. agent said we are more than happy to look in to your options please let us know if we can assist. agent said we are more than happy to look in to your options please let us know if we can assist,1430035,customer wants to have the asus rog and wants to go to a carrier that carries more lineup in phones. agent replied we are more than happy to look in to your options please let us know if we can assist.
customer said the way verizon can help is adding better phones to the lineup last year the asus rog ii was consider one of the best phones and it cost less than a even better than samsung why verizon customerc not have it can you answer that. agent said we strive to have something for everyone please feel free to go over our available inventory here kerryc_vzw. agent said we strive to have something for everyone please feel free to go over our available inventory here kerryc_vzw,1435244,customer needs help with samsung. customer thinks verizon can help by adding better phones to the lineup. agent replied we strive to have something for everyone please feel free to go over our available inventory.
customer said its been going on for a couple weeks now its in and outside my home ive noticed sense im working from home i dont use it much anywhere else to know if it works when im away from home. agent said thank you for taking the time to troubleshoot are you using wifi calling primarily on the devie when home our is it only call on the cellualr network how far do you travel before the service improves. agent said thank you for taking the time to troubleshoot are you using wifi calling primarily on the devie when home our is it only call on the cellualr network how far do you travel before the service improves,1554373,customer is using wifi calling primarily on the devie when home but it only calls on the cellualr network. agent replied thank you for taking the time to troubleshoot.
