Message,Summary_T5_1,Summary_T5_2,Summary_Bart
"Saturday, April , (03:00 PM)Check-out:Sunday, April ,  (11:00 AM)Hotel Address:1711 W. Meeker Street
Kent WA, , United StatesHotel Phone Number:253-854-1950Number of Rooms:1 RoomReservation Name:Room : Khalil Judie
For  Adults

Confirmation Number:316857978 A man named young was racist called me and my girlfreind monkeys when he was confronted about the ants in the room Yes we have it so happens that young is the property manager and some kind of owner  s th kent wa  apt #     Secound number is the right number His name was Young 
And yes its MEMBER NUMBER

KXJ41012 Thank you",Khalil Judie For Adults Confirmation Number:316857978 RoomReservation Name:Room : Khalil Judie For Adults Confirmation Number:316857978A man named young was racist called me and my girlfreind monkeys when he was confronted about the ants in the room Yes we have it so happens that young is the property manager and some kind of owner s th kent wa apt # Secound number is the right number His name was Young And yes its MEMBER NUMBER KXJ41012,roommate called me and my girlfreind monkeys us,"Saturday, April, (03:00 PM)Check-out:Sunday, April...  (11:00 AM)Hotel Address:1711 W. Meeker Street
Kent WA,, United StatesHotel Phone Number:253-854-1950Number of Rooms:1 RoomReservation Name:Room : Khalil Judie
For  Adults
Confirmation Number:316857978 A man named young was racist called me and my girlfreind"
Ive stay in hotel couple week ago were we had roach problem and change three room do to know air Times Can I just send my invoice Is this legit I really wanted my money back but they said it was to late that was a horrible hotel experience with my girlfriend it was hot had people hanging out drinking beer people peeing on the stairs management always out the office it took two hour to get settle then I didnt even have cable in my room Can I please just get a refund Im a loyal customer I had to switch hotel the next and pay more because they out dated the room was not like the website it wasnt not quality at all Or atleast half I rather have my money back please because I waisted gas travling to a bad hotel and got my car hit and run My fianc want to redo her vactaion in Houston Texas can you atleast give me enough point to stay two free day at the best hotel im a faithful customer i never complain I had to wait along period of time I lost hour on my stay by trying get a good room I had the worst experiences in my life i alway give yo five star can I please get that result I dont know a particular date but can u just give me a reward to do so I dont know because of the virus can u just give me enough rewards point to do so if need be Can I have  privilege point enough for two day stay and Ill be pleased Pleased Are u still there some time this month or next please    s th Ave Fxc70932 Laurel ms  ?? When will I receive my points Did I get scheme out my info I dont see my point on my in the account I also had trouble at another hotel This one was horrible also there was people shooting guns and having parties I keep getting call N word people where being racist call me a nigger  following  us beating on the walls I thought choice support bpm Black live matter This was racist place that night Can I get some help with this one also this the only other bad experience I had This really a scheme huh all my infowas recorded I had bad roach experience here and hair problem Im faithful customer I never complain been a member since  but this one was unacceptable also the building elevator has mess up Hey I called early in lady supposed to cancel my stay for today and give my point back because I did it at late night and I was trying do it for   and.  comfort suite Fanandus Coleman  i never arrives its wrong date it supposed to been for yesterday I was making it   but the it did it   Ok why did I get  point taken off for a reservation made for jun    I didnt make that at Econo lounge I stay there yesterday it was horrible I left Can I get my  point back for encoo lounge yesterday   hair in bed Hello Econo lounge I dont see the confirmation number June  and  I sent pictures Fanandus   Coleman laurel Can I get double point because I experience a lot of problems with these from please Im loyal customer. The could give me points for atleast tonight I have proof Please the least they can do Hello I accept Hey I stayed at the sleep inn the  thru   Layfette Louisianaon my choice  privilegedI didnt tell me the pool will be closed so my kids didnt have anything to do didnt realize their business office would be close I couldnt do my online course!  those or some of the reason why I stayed! I didnt get any clean towel  nor did somebody come take out the trash or anything I didnt get any room service there breakfast was in bags the hotel was out dated not many light work in my room the refrigerator didnt work in the room  so I bought food that spoil Hello Hello Hey I just still feel unsavtify about my last stay at sleep inn I lost almost a hundred worth of foos meat because refridge didnt work I should get extra Compensation for lost food Can I get a lil extra for my lost foood They told me that I didnt book thru them I just feel like the hotel are not up to par I will give every one of the rep I took to a bad ratings Im reall not getting no help Please atleast get me another free night for my spoil food Can I get atleast  % off Accept Hey I stayed at the Econo lodge two days and it was horrible I need a refund I thought u discuss stuff with  the hotel. They had bed bug I woke up with bite all over me and stayed and to different room omg Hey I stayed and hotel and I wasnt satisfied and the hotel guess the water was out it didnt get out Yes I stayed and the sleep  innand Houston Texas and the water didnt get hot  the ceiling fan didnt work I would love a refund ??? The hotel wasnt no one at the desk that morning ???? I  dont have the comfirmatiom  but Fanandus Coleman check in    Is there a way I could get compensated Hey I had app malfunction it book a room I didnt want somehow it been a acting up It places reservations at wrong hotel help me fix Hello my app book the wrong hotel for me help I wanted to stay in Hattiesburg it book for delbville,Can I have privilege point enough for two free day at the best hotel? My fianc want to redo her vactaion in Houston Texas can you atleast give me enough points to stay two free days at the best hotel?,cant give me money back hotel roach issue,Ive stay in hotel couple week ago were we had roach problem and change three room do to know air Times Can I just send my invoice Is this legit I really wanted my money back but they said it was to late that was a horrible hotel experience with my girlfriend it was hot had people hanging out drinking beer people peeing on the stairs management always out the office it took two hour to get settle then I didnt even have cable in my room Can I please just get a refund
"Nope. Not resolved. 

My husband was supposed fo receive a refund, however its almost  days from the initial date of stay. 

Your team has been MIA and the The Paul fought us when we tried to go through Discover","My husband was supposed fo receive a refund, however its almost days from the initial date of stay. Your team has been MIA and the The Paul fought us when we tried to go through Discoverer.",my husband was supposed get refund days later,"Nope. Not resolved. 

My husband was supposed fo receive a refund, however its almost  days from the initial date of stay. ヘ
Your team has been MIA and the The Paul fought us when we tried to go through Discover. Nope. not resolved. I

 my husband was worth fo receivea refund, although its almost c days from an initial date- stay.""I'm supposed fo receiving a refund... however its nearly  days for"
"I am staying at the Brandon Florida location at Falkenberg Road. I checked in on Monday and Im not supposed to check out until tomorrow. My key card has been deactivated and I cannot get in. I am here on business is after midnight and I cant get a hold of anybody at this hotel! If I have to spend the night in my car tonight, you will be refunding the entire stay! How do you run a hotel with not a single employee inside at all times? I cant get a hold of anybody even at your corporate office! I promise you I will be posting negative about your hotel chain on every site I possibly can! Absolute garbage chain! Im staying at the Brandon, Fl location (this past Monday until tomorrow, Friday) Im currently sitting in my car with deactivated key cards. I CANNOT GET AHOLD OF ANYONE AT THIS GODDAMN HOTEL OR THEIR CORPORATE OFFICE!! How do you
 conceivably abandon your guests overnight??
Im apparently staying in my car tonight in the parking lot of a hotel on the last night of my reservation THAT I GODAMN PAID FOR!!! 
Let this be a warning! DO NOT DO NOT DO NOT BOOK OR STAY WITH THIS INCOMPETENT CHAIN!! Absolute garbage chain! Im staying at the Brandon, Fl location (this past Monday until tomorrow, Friday) Im currently sitting in my car with deactivated key cards. I CANNOT GET AHOLD OF ANYONE AT THIS GODDAMN HOTEL OR THEIR CORPORATE OFFICE!! How do you
 conceivably abandon your guests overnight??
Im apparently staying in my car tonight in the parking lot of a hotel on the last night of my reservation THAT I GODAMN PAID FOR!!! 
Let this be a warning! DO NOT DO NOT DO NOT BOOK OR STAY WITH THIS INCOMPETENT CHAIN!! No, I checked out today. The individual who took my keys said theyd return with the managers number. They never returned. By the way, this place is barely  months old and already a dump. I reeks of marijuana and I shall attach pictures Disgusting how unkept this inn is! The office was almost always shuttered during my stay here. I dont know how your hotels are franchised, but your corporate office might want to take a closer look. This so-called hotel owner is absolutely trashing your corporate name.Because right now your corporate name is absolute garbage in my mind. You couldnt pay me to stay at another one of your hotels again I would like the last night of my stay refunded. I paid for four nights and was provided with three...the opportunity to fix the keys came and went. 
Refund the final night, and well call it even. Confirmation number: 

Check in on Monday , /15/20

Matthew Wiley

WoodSprings Suites
Tampa/Brandon  S Falkenburg Rd
Tampa, Fl  You guys really need to investigate that location because they are absolutely destroying your reputation and company name I hope so because Id hate to have to get BBB and or the State Attorneys Office Consumer Affairs Division involved. I assure I will if necessary. I do have photographic and gps evidence to prove my case. Since your manager is unprofessional and unwilling to work with me, I will be taking the matter up with a consumer lawyer from a local news channel. Im sure the negative publicity your corporation is about to receive on live news will be worth not reimbursing a customer one night stay. Consumers deserve the right to know what a racket Choice  Hotels is and what absolutely terrible service you provide (or dont provide).","I am staying at the Brandon, Fl location at Falkenberg Road. My key card has been deactivated and I cannot get in. If I have to spend the night in my car tonight, you will be refunding the entire stay!",cant BOOK or STAY WITH THIS HOTEL... owner,"I am staying at the Brandon Florida location at Falkenberg Road. I checked in on Monday and Im not supposed to check out until tomorrow. My key card has been deactivated and I cannot get in. I am here on business is after midnight and I cant get a hold of anybody at this hotel! If I have to spend the night in my car tonight, you will be refunding the entire stay! How do you run a hotel with not a single employee inside at all times"
When is the location in Richland WA going to open? Thanks,When is the location in Richland WA going to open?,whats location in richland wa going open,"When is the location in Richland WA going to open? Thanks.When isThe location inRichland WAgoing to opened? Thanks |When isthe location in Richmond WA going-open?When is a location in Richardland WA taking to open?"" Thanks"
My family will NEVER stay at a Choice hotel again. I have been a choice privileges member for over  years. My app was compromised and someone used all of my rewards points. Choice was absolutely no help at all. The fraud department is a joke. I researched and got more information than they did. DONE!!! Cancelling my account and credit card account with them.,My app was compromised and someone used all of my rewards points. Choice was absolutely no help at all. The fraud department is a joke.,never stay at a Choice hotel again fraud department,My family will NEVER stay at a Choice hotel again. I have been a choice privileges member for over  years. My app was compromised and someone used all of my rewards points. Choice was absolutely no help at all. The fraud department is a joke. I researched and got more information than they did. DONE!!! Cancelling my account and credit card account with them.
"Did not receive my bonus points from last stay. The  points I put toward Uber. RXS040197
  SEIBERT Rd. Wilmer Al . 

Robert L Saucier

 
 
Thursday June  checked out June   Nope. I Still havent received my Uber points. I Appreciate you girl! You too. Do you have big plans for this weekend? Good for you! Keep up the good work!! RXS040197
  SEIBERT Rd. Wilmer Al . 

Robert L Saucier

 
 
Thursday June  checked out June  Havent received my Uber points for this date Thanks Liz. I got your email, but there is no promotion no code on there. Please send me the promotional code for Uber. So I can copy and paste it.",Robert L Saucier Thursday June checked out June Nope. I Still havent received my Uber points.,still havent received my Uber points last stay,"Did not receive my bonus points from last stay. The  points I put toward Uber. RXS040197
  SEIBERT Rd. Wilmer Al. 

Robert L SaucierThursday June  checked out June   Nope. I Still havent received my Uber points. I Appreciate you girl! You too. Do you have big plans for this weekend? Good for you! Keep up the good work!! RXSIV0197nine "
" The man at the desk, I believe to be the manager, really saved the day for us.

After a  hour drive with too many delays we arrived well past midnight, but the manager was still available to open up the door and service. We booked and prepaid through Priceline but","The man at the desk, I believe to be the manager, really saved the day for us. After an hour drive with too many delays we arrived well past midnight. The manager was still available to open up the door and service.",manager saves day despite many delays," The man at the desk, I believe to be the manager, really saved the day for us.

After a  hour drive with too many delays we arrived well past midnight, but the manager was still available to open up the door and service. We booked and prepaid through Priceline but"
"Worst night ever! I woke up to People yelling and fighting around am on th floor my kids was scared I ask front desk call Cops. Next morning ask Manager Kelly for a discount for the night she said ""No"" due to I didn't booked through choice hotels and she had a bad attitude seem like she didn't people of color I do not deserve this treatment. Im done with Choice Hotels Comfort Inn.. /24-6/25
  Burton Station Rd
Virginia Beach, VA  
United States Thank you so much I love staying at Choice Hotels hopefully a bad Apple doesn't spoil a bunch.  Ellenbrook Pl.
  City: Chester 
State: VA
Zip:   woodhue ct. Virginia Beach Va 
  sedgewick dr Virginia Beach va   harrier st
Virginia Beach va  I can't access that account Numas Can you help me Sorry I got it thanks Thank you Numas","Choice Hotels Comfort Inn. has been a favorite of mine since it was opened in 2004. I'm done with Choice Hotels because I didn't book through choice hotels. The hotel is located in the heart of Virginia Beach, Virginia.",worst night ever due bad attitude hotel manager,"Worst night ever! I woke up to People yelling and fighting around am on th floor my kids was scared I ask front desk call Cops. Next morning ask Manager Kelly for a discount for the night she said ""No"" due to I didn't booked through choice hotels and she had a bad attitude seem like she didn't people of color I do not deserve this treatment. Im done with Choice Hotels Comfort Inn.. /24-6/25
  Burton Station Rd
"
" Checking into the Clarion Denver. There's a sign that says must wear a mask.
No one, not even the staff! Good morning. We are at the Denver Clarion Central. We arrived yesterday evening (July ). Reservation is under Michael Turnipseed. The person behind the desk this morning was wearing a mask, but they aren't enforcing anyone else wearing one.  Here is a photo from our check in last night. When we got to the room, there were no towels.  Just fyi.
My husband wanted you to know This is my last break before a major surgery. I would rather you all take care of it. Honestly, I would feel uncomfortable as apparently no one here cares. If our stay was refundable we would have left. We've stayed here multiple times with no issues.","The person behind the desk this morning was wearing a mask, but they aren't enforcing anyone else wearing one. When we got to the room, there were no towels. Just fyi. If our stay was refundable we would have left.",fyi hotel staff says must wear a mask checkin," Checking into the Clarion Denver. There's a sign that says must wear a mask.
No one, not even the staff! Good morning. We are at the Denver Clarion Central. We arrived yesterday evening (July ). Reservation is under Michael Turnipseed. The person behind the desk this morning was wearing a mask, but they aren't enforcing anyone else wearing one.  Here is a photo from our check in last night. When we got to the room, there"
